model_type,age,a_predictions,the_predictions,total_predictions,a_to_the,the_to_a,pred_a_or_the,a_to_the_ratio,the_to_a_ratio,total_misclassified,overall_accuracy,determiner_accuracy
0,14,273,223,898,104,111,496,0.20967741935483872,0.22379032258064516,0.4334677419354839,0.34521158129175944,0.625
0,18,368,260,1163,93,123,628,0.1480891719745223,0.19585987261146498,0.34394904458598724,0.26741186586414445,0.49522292993630573
0,22,471,308,1355,91,150,779,0.11681643132220795,0.1925545571245186,0.30937098844672656,0.33062730627306275,0.5750962772785623
0,26,482,510,1521,147,122,992,0.14818548387096775,0.12298387096774194,0.2711693548387097,0.3530571992110454,0.5413306451612904
0,30,661,486,1696,121,195,1147,0.1054925893635571,0.17000871839581516,0.27550130775937226,0.36910377358490565,0.5457715780296426
0,34,630,500,1826,138,190,1130,0.12212389380530973,0.168141592920354,0.2902654867256637,0.35323110624315446,0.5707964601769911
0,38,724,523,1916,138,218,1247,0.11066559743384122,0.1748195669607057,0.2854851643945469,0.342901878914405,0.5268644747393745
0,42,716,648,2017,192,204,1364,0.14076246334310852,0.1495601173020528,0.2903225806451613,0.38423401090728804,0.5681818181818182
0,46,773,642,2092,213,251,1415,0.15053003533568904,0.1773851590106007,0.32791519434628974,0.3847992351816444,0.568904593639576
0,50,571,765,2171,284,168,1336,0.2125748502994012,0.12574850299401197,0.3383233532934132,0.3150621833256564,0.5119760479041916
0,54,751,728,2237,256,252,1479,0.17308992562542258,0.17038539553752535,0.34347532116294793,0.36522127849798836,0.5524002704530088
0,58,841,641,2295,212,285,1482,0.14304993252361672,0.19230769230769232,0.33535762483130904,0.36514161220043573,0.5654520917678812
25,14,172,271,692,142,54,443,0.32054176072234764,0.12189616252821671,0.44243792325056436,0.3916184971098266,0.6117381489841986
25,18,263,241,908,119,76,504,0.2361111111111111,0.15079365079365079,0.3869047619047619,0.3667400881057269,0.6607142857142857
25,22,279,307,1060,135,65,586,0.23037542662116042,0.11092150170648464,0.3412969283276451,0.38301886792452833,0.6928327645051194
25,26,382,379,1201,173,93,761,0.22733245729303547,0.12220762155059132,0.3495400788436268,0.3896752706078268,0.6149802890932983
25,30,413,494,1350,217,97,907,0.2392502756339581,0.10694597574421169,0.3461962513781698,0.42962962962962964,0.639470782800441
25,34,615,409,1471,166,180,1024,0.162109375,0.17578125,0.337890625,0.4711080897348742,0.6767578125
25,38,602,407,1558,159,158,1009,0.15758176412289396,0.1565906838453915,0.3141724479682854,0.4268292682926829,0.6590683845391476
25,42,527,487,1655,209,131,1014,0.20611439842209073,0.1291913214990138,0.33530571992110453,0.3945619335347432,0.6439842209072978
25,46,560,574,1725,243,136,1134,0.21428571428571427,0.11992945326278659,0.3342151675485009,0.4191304347826087,0.6375661375661376
25,50,588,595,1799,275,160,1183,0.23245984784446322,0.1352493660185968,0.36770921386306,0.41078376876042244,0.6246830092983939
25,54,504,719,1863,342,133,1223,0.2796402289452167,0.10874897792313983,0.3883892068683565,0.4111647879763822,0.6263286999182338
25,58,801,475,1919,182,237,1276,0.1426332288401254,0.18573667711598746,0.3283699059561129,0.4590932777488275,0.6904388714733543
50,14,46,256,492,159,9,302,0.5264900662251656,0.029801324503311258,0.5562913907284768,0.3638211382113821,0.5927152317880795
50,18,117,246,651,157,29,363,0.4325068870523416,0.07988980716253444,0.512396694214876,0.38556067588325654,0.6914600550964187
50,22,155,306,779,184,33,461,0.39913232104121477,0.07158351409978309,0.47071583514099785,0.3940949935815148,0.665943600867679
50,26,272,284,900,159,63,556,0.28597122302158273,0.11330935251798561,0.39928057553956836,0.44333333333333336,0.7176258992805755
50,30,271,364,1025,204,60,635,0.32125984251968503,0.09448818897637795,0.415748031496063,0.41365853658536583,0.6677165354330709
50,34,396,364,1126,198,100,760,0.26052631578947366,0.13157894736842105,0.39210526315789473,0.4769094138543517,0.7065789473684211
50,38,381,421,1197,237,95,802,0.2955112219451372,0.11845386533665836,0.4139650872817955,0.4569757727652464,0.6820448877805486
50,42,460,369,1275,194,113,829,0.23401688781664656,0.13630880579010857,0.3703256936067551,0.4682352941176471,0.7201447527141134
50,46,499,410,1337,216,124,909,0.2376237623762376,0.13641364136413642,0.37403740374037403,0.4906507105459985,0.7216721672167217
50,50,455,491,1407,281,125,946,0.29704016913319237,0.1321353065539112,0.42917547568710357,0.44989339019189767,0.6691331923890064
50,54,455,539,1469,300,125,994,0.30181086519114686,0.12575452716297786,0.4275653923541248,0.45132743362831856,0.6670020120724346
50,58,506,485,1523,255,133,991,0.25731584258324924,0.13420787083753785,0.39152371342078707,0.4661851608667104,0.7164480322906155
75,14,15,138,290,91,3,153,0.5947712418300654,0.0196078431372549,0.6143790849673203,0.30344827586206896,0.5751633986928104
75,18,55,147,385,98,11,202,0.48514851485148514,0.054455445544554455,0.5396039603960396,0.34285714285714286,0.6534653465346535
75,22,105,146,476,92,27,251,0.3665338645418327,0.10756972111553785,0.47410358565737054,0.3634453781512605,0.6892430278884463
75,26,170,209,574,129,40,379,0.3403693931398417,0.10554089709762533,0.44591029023746703,0.4355400696864111,0.6596306068601583
75,30,170,281,687,163,41,451,0.3614190687361419,0.09090909090909091,0.4523281596452328,0.42503639010189226,0.647450110864745
75,34,207,320,777,190,56,527,0.3605313092979127,0.1062618595825427,0.4667931688804554,0.4337194337194337,0.6394686907020873
75,38,281,269,835,153,76,550,0.2781818181818182,0.13818181818181818,0.4163636363636364,0.4359281437125748,0.6618181818181819
75,42,306,291,910,154,72,597,0.25795644891122277,0.12060301507537688,0.3785594639865997,0.46373626373626375,0.7068676716917923
75,46,389,292,978,152,100,681,0.22320117474302498,0.14684287812041116,0.3700440528634361,0.49795501022494887,0.7151248164464024
75,50,285,370,1037,209,74,655,0.3190839694656489,0.11297709923664122,0.43206106870229005,0.43008678881388623,0.6809160305343511
75,54,319,359,1098,195,82,678,0.28761061946902655,0.12094395280235988,0.4085545722713864,0.4335154826958106,0.7020648967551623
75,58,441,383,1152,197,113,824,0.23907766990291263,0.13713592233009708,0.3762135922330097,0.5121527777777778,0.7160194174757282
100,14,7,54,91,21,2,61,0.3442622950819672,0.03278688524590164,0.3770491803278688,0.43956043956043955,0.6557377049180327
100,18,21,54,143,18,6,75,0.24,0.08,0.32,0.3776223776223776,0.72
100,22,45,73,201,23,16,118,0.19491525423728814,0.13559322033898305,0.3305084745762712,0.42786069651741293,0.7288135593220338
100,26,73,93,274,29,28,166,0.1746987951807229,0.1686746987951807,0.3433734939759036,0.4416058394160584,0.7289156626506024
100,30,106,131,360,44,38,237,0.18565400843881857,0.16033755274261605,0.3459915611814346,0.475,0.7215189873417721
100,34,137,166,434,64,53,303,0.21122112211221122,0.17491749174917492,0.38613861386138615,0.47465437788018433,0.6798679867986799
100,38,166,158,483,63,61,324,0.19444444444444445,0.1882716049382716,0.38271604938271603,0.47619047619047616,0.7098765432098766
100,42,187,156,552,52,71,343,0.15160349854227406,0.20699708454810495,0.358600583090379,0.4673913043478261,0.7521865889212828
100,46,229,170,608,55,81,399,0.13784461152882205,0.20300751879699247,0.3408521303258145,0.5115131578947368,0.7794486215538847
100,50,242,154,657,55,94,396,0.1388888888888889,0.23737373737373738,0.37626262626262624,0.4337899543378995,0.7196969696969697
